age|age_group
1|<5
2|<5
3|<5
4|<5
5|5-7
6|5-7
7|7-9
8|7-9
9|9-11
10|9-11
11|9-11
12|12-16
13|12-16
14|12-16
15|12-16
16|16-18
17|16-18
18|18-21
19|18-21
20|18-21
21|21+
22|21+
23|21+
24|21+
25|21+
26|21+
27|21+
28|21+
29|21+
30|21+
31|21+
32|21+
33|21+
34|21+
35|21+
36|21+
37|21+
38|21+
39|21+
40|21+
41|21+
42|21+
43|21+
44|21+
45|21+
46|21+
47|21+
48|21+
49|21+
50|21+
51|21+
52|21+
53|21+
54|21+
55|21+
56|21+
57|21+
58|21+
59|21+
60|21+
61|21+
62|21+
63|21+
64|21+
65|21+
66|21+
67|21+
68|21+
69|21+
70|21+
71|21+
72|21+
73|21+
74|21+
75|21+
76|21+
77|21+
78|21+
79|21+
80|21+
81|21+
82|21+
83|21+
84|21+
85|21+
86|21+
87|21+
88|21+
89|21+
90|21+
91|21+
92|21+
93|21+
94|21+
95|21+
96|21+
97|21+
98|21+
99|21+
